Name,ID,X,Y,Sewer inputs,DWF enabled,Method,Units,Flow rate,Area,Density,Peaking factor,Winter water use,Landuse,Pattern,Pattern resolved
28-2-64,134,46866.64,60269.11,true,,,2,12,0,0,1,0,3,Daily1,Yes
28-2-68,134,46868.31,60417.77,,,,,,,,,,,,
28-2-69,134,46869.83,60572.83,true,,,2,6,0,0,1,0,3,Daily1,Yes
28-2-70,134,46871.18,60760.03,true,,,2,36,0,0,1,0,3,Daily1,Yes
28-2-95,134,44315.79,58759.99,,true,0,,,,,,,,,
28-2-96,134,44497.15,58678.85,,,,,,,,,,,,
28-3-21,134,47914.96,59431.8,true,true,0,2,334,0,0,1,0,3,Daily1,Yes
28-3-22,134,47915.14,59444.49,true,true,0,2,160,0,0,1,0,3,Daily1,Yes
28-3-54,134,47915.63,59664.21,true,true,0,2,7,0,0,1,0,3,Daily1,Yes
28-3-54.1,134,47918.87,59827.86,,true,0,,,,,,,,,
28-3-56,134,47920.29,59971.12,true,true,0,2,25,0,0,1,0,3,Daily1,Yes
28-3-61,134,47922.85,60227.15,,true,0,,,,,,,,,
28-3-62,134,47926.74,60624.32,,true,0,,,,,,,,,
28-3-63,134,47928.22,60655.77,true,true,0,2,37,0,0,1,0,3,Daily1,Yes
28-4-10,134,47266.06,56490.04,true,,,2,29,0,0,1,0,3,Daily1,Yes
28-4-11,134,47168.87,56600.46,,,,,,,,,,,,
28-4-12,134,47001.42,56705.7,,,,,,,,,,,,
28-4-13,134,47295.43,56455.34,,,,,,,,,,,,
28-4-14,134,47400.72,56336.86,,,,,,,,,,,,
28-4-15,134,47746.1,56101.32,true,,,2,17,0,0,1,0,3,Daily1,Yes
28-4-18,134,47701.03,55997.66,,,,,,,,,,,,
28-4-19,134,47683.95,55731.27,,,,,,,,,,,,
28-4-20,134,47615.58,55546.97,,,,,,,,,,,,
28-4-21,134,48080.16,55883.05,true,,,2,147,0,0,1,0,3,Daily1,Yes
28-4-22,134,48382.93,55677.8,,,,,,,,,,,,
28-4-23,134,48131.92,55941.14,,,,,,,,,,,,
28-4-24,134,48351.74,55919.07,,,,,,,,,,,,
28-4-25,134,48382.38,56241.72,,,,,,,,,,,,
28-4-26,134,48581.48,56236.34,true,,,2,15,0,0,1,0,3,Daily1,Yes
28-4-30,134,48596.48,56090.5,,,,,,,,,,,,
28-4-31,134,48663.72,55939.42,,true,0,,,,,,,,,
28-4-32,134,48921.02,55717.09,,,,,,,,,,,,
28-4-33,134,49091.71,55714.2,,,,,,,,,,,,
28-4-34,134,49088.47,55486.37,,,,,,,,,,,,
28-4-35,134,49510.71,55481.93,,,,,,,,,,,,
28-4-36,134,49982,55477.62,,,,,,,,,,,,
28-4-36.2,134,50030.56,55441.17,true,,,2,7,0,0,1,0,3,Daily1,Yes
29-3-1,134,42730.49,58201.74,true,,,2,96,0,0,1,0,3,Commercial1,Yes
29-3-12,134,43254.14,59163.89,,,,,,,,,,,,
29-3-13,134,43371.95,59346.62,,true,0,,,,,,,,,
29-3-2,134,42783.61,58329.4,,,,,,,,,,,,
29-3-22,134,43482.85,59523.28,true,,,2,184,0,0,1,0,3,Daily1,Yes
