name,type_code,us_node,ds_node,length,diameter,slope,roughness,shape,us_invert,ds_invert
1657,136,6-4-6,6-4-5,300.99,1.5,0.31,0.013,1,4270.01,4269.07
1658,136,6-4-7,6-4-6,283.55,1.5,0.36,0.013,1,4271.06,4270.03
166,136,1N-3-11,1N-3-10,449.43,2.75,0.22,0.013,1,4253.86,4252.87
1660,136,6-4-9,6-4-8,179.18,1.5,0.223,0.013,1,4272.6,4272.2
1661,136,7-3-33,6-4-9,427.08,1.5,0.293,0.013,1,4273.9,4272.65
1662,136,6-4-5,6-4-10,268.89,1.75,0.372,0.013,1,4267.85,4266.85
1663,136,6-4-10,6-4-10.1,146.66,1.75,1.8,0.013,1,4266.56,4263.92
1664,136,6-4-10.1,6-4-11,173.31,2.5,0.1,0.013,1,4263.77,4263.6
1665,136,6-4-11,6-4-12,306.5,2.5,0.098,0.013,1,4263.5,4263.2
1666,136,6-4-12,6-4-13,478.36,2.5,0.119,0.013,1,4263.1,4262.53
1669,136,6-4-13,6-4-16,336.77,2.5,0.08,0.013,1,4262.48,4262.21
167,136,1N-3-12,1N-3-11,323.84,2.75,0.5,0.013,1,4255.7,4254.08
1670,136,6-4-16,6-4-17,227.84,2.5,0.066,0.013,1,4262.12,4261.97
1671,136,6-4-17,6-4-18,154.78,2.5,0.72,0.013,1,4261.88,4260.76
1672,136,6-4-18,6-4-19,195.56,2.5,0.08,0.013,1,4260.48,4260.33
1674,136,6-4-7.1,6-4-7,11.58,1.5,1.036,0.013,1,4271.25,4271.13
1675,136,6-4-7.2,6-4-7.1,110.44,1.5,0.109,0.013,1,4271.46,4271.34
1676,136,6-4-7.3,6-4-7.2,78.9,1.5,0.254,0.013,1,4271.71,4271.51
1677,136,6-4-7.4,6-4-7.3,162.92,1.5,0.178,0.013,1,4272.05,4271.76
1679,136,6-4-8,6-4-7.4,14.03,1.5,0.356,0.013,1,4272.15,4272.1
168,136,6-2-13,1N-3-12,450.55,2.75,0.52,0.013,1,4258.1,4255.76
1699,136,7-3-2,7-3-1,633.59,3.25,0.07,0.013,1,4278.59,4278.15
1700,136,7-3-3,7-3-2,24.69,3.25,-3.16,0.013,1,4275.08,4275.86
1701,136,7-3-4,7-3-3,59.74,3.25,0.54,0.013,1,4279.34,4279.02
1703,136,7-3-6,7-3-5,265,2,0.543,0.013,1,4278.2,4276.76
1704,136,7-3-7,7-3-6,67.71,2,1.03,0.013,1,4278.94,4278.24
1711,136,7-3-14,7-3-7,246.45,1.75,0.531,0.013,1,4280.26,4278.95
1712,136,7-3-15,7-3-14,437.75,2.5,0.274,0.013,1,4281.56,4280.36
1713,136,7-3-16,7-3-15,457.32,1.75,0.405,0.013,1,4283.61,4281.76
1714,136,7-3-17,7-3-16,500.13,1.75,0.95,0.013,1,4288.56,4283.81
1715,136,7-3-18,7-3-17,169.24,1.75,0.91,0.013,1,4290.27,4288.73
1718,136,7-3-21,7-3-18,328.84,1.75,0.885,0.013,1,4293.61,4290.7
1719,136,7-3-22,7-3-21,501.21,1.75,0.567,0.013,1,4296.55,4293.71
172,136,1N-3-16,1N-3-13,238.45,3.5,0.18,0.013,1,4250.76,4250.62
1720,136,8-1-1,7-3-22,404.11,1.75,0.61,0.013,1,4299,4296.55
1721,136,7-3-23,7-3-4,32.73,2.5,0.06,0.013,1,4279.36,4279.34
1722,136,7-3-24,7-3-23,239.39,2.5,0.55,0.013,1,4280.68,4279.37
1723,136,7-3-25,7-3-24,230.96,2.5,0.34,0.013,1,4281.67,4280.88
1724,136,7-3-26,7-3-25,114.57,2.5,0.98,0.013,1,4282.83,4281.71
1725,136,7-3-27,7-3-26,50.75,2.5,0.394,0.013,1,4283.05,4282.85
1726,136,7-3-28,7-3-27,350.16,2.5,0.685,0.013,1,4285.5,4283.1
1727,136,7-3-29,7-3-28,456.5,2.5,0.5,0.013,1,4287.79,4285.5
1730,136,7-3-30,7-3-29,397.07,2.5,0.67,0.013,1,4290.59,4287.92
1735,136,7-3-31,7-3-30,668.93,2.5,0.537,0.013,1,4294.38,4290.79
1736,136,7-3-32,7-3-31,437.86,2.5,0.962,0.013,1,4298.7,4294.49
1737,136,8-1-25,7-3-32,404.15,2.5,0.45,0.013,1,4300.63,4298.8
1738,136,8-2-4,7-3-37,363.76,1.5,0.335,0.013,1,4277.83,4276.61
1740,136,7-3-36,7-3-35,162.23,1.5,0.321,0.013,1,4276.11,4275.59
1741,136,7-3-35,7-3-34,141.17,1.5,0.418,0.013,1,4275.57,4274.98
1742,136,7-3-34,7-3-33,351.62,1.5,0.301,0.013,1,4274.97,4273.91
1748,136,8-1-2,8-1-1,470.51,1.75,0.61,0.013,1,4301.92,4299.06
1749,136,8-1-3,8-1-2,368.18,1.75,0.67,0.013,1,4304.48,4302.02
1750,136,8-1-4,8-1-3,376.5,1.75,0.27,0.013,1,4305.5,4304.5
1751,136,8-1-5,8-1-4,640.03,1.75,0.98,0.013,1,4311.82,4305.55
1752,136,8-1-5.1,8-1-5,347.21,1.75,0.648,0.013,1,4314.22,4311.97
1753,136,8-1-6,8-1-5.1,352.04,1.75,0.639,0.013,1,4316.48,4314.23
1754,136,8-1-7,8-1-6,495.83,2.5,1.35,0.013,1,4323.2,4316.5
1755,136,17-2-57,8-1-7,213.58,2.5,0.342,0.013,1,4324.08,4323.35
1756,136,17-2-49,8-1-8,67.18,1.75,0.64,0.013,1,4320.78,4320.35
176,136,1N-3-20,1N-3-16,434.39,2.5,0.1,0.013,1,4251.2,4250.78
1761,136,8-1-8,8-1-13,280.42,1.75,0.53,0.013,1,4320.24,4318.86
1766,136,8-1-13,8-1-18,336.42,1.75,0.523,0.013,1,4318.86,4317.1
1767,136,8-1-18,8-1-19,31.05,1.75,0.29,0.013,1,4317.08,4316.99
1768,136,8-1-19,8-1-6,31.77,1.75,1.794,0.013,1,4316.95,4316.38
1769,136,8-1-20,8-1-20.1,328.05,3,0.131,0.013,1,4315.35,4314.92
177,136,1N-3-21,1N-3-20,214.34,2.5,0.18,0.013,1,4251.61,4251.22
1770,136,8-1-20.1,8-1-21,358.92,3,0.326,0.013,1,4314.78,4313.61
1771,136,8-1-21,8-1-22,341.62,2.5,1.12,0.013,1,4313.61,4309.78
1772,136,8-1-22,8-1-22.1,298.17,2.5,0.258,0.013,1,4309.77,4309
1778,136,8-1-24,8-1-25,469.55,2.5,0.6,0.013,1,4303.48,4300.68
1790,136,8-1-35,8-1-18,262.86,0.67,0.194,0.013,1,4320.17,4319.66
1798,136,8-1-42,8-1-35,285.62,0.67,4.17,0.013,1,4332.08,4320.17
1799,136,8-1-43,8-1-42,295.57,0.67,1.079,0.013,1,4335.32,4332.13
180,136,1N-3-24,1N-3-21,202.68,2.5,0.23,0.013,1,4252.08,4251.62
1800,136,8-4-6,8-1-43,215.82,0.67,1.23,0.013,1,4338.08,4335.43
1819,136,8-2-5,8-2-4,139.06,1.5,0.201,0.013,1,4278.11,4277.83
1820,136,8-2-6,8-2-5,431.15,1.5,0.241,0.013,1,4279.17,4278.13
1821,136,8-2-6.1,8-2-6.2,213.73,1.5,0.426,0.013,1,4280.65,4279.74
1822,136,8-2-7,8-2-6.1,67.92,1.5,0.044,0.013,1,4280.7,4280.67
1823,136,8-2-8,8-2-7,56.39,1.5,0.14,0.013,1,4280.86,4280.78
1825,136,8-2-10,8-2-8,31.3,1.5,0.19,0.013,1,4281.04,4280.98
1826,136,8-2-11,8-2-10,121.81,1.5,0.22,0.013,1,4281.36,4281.09
1827,136,8-2-12,8-2-11,264.26,1.5,0.29,0.013,1,4282.14,4281.44
1828,136,8-2-13,8-2-12,338.72,1.5,0.363,0.013,1,4283.42,4282.19
1829,136,8-2-14,8-2-13,104.85,1.5,4.26,0.013,1,4288,4283.53
183,136,1N-3-27,1N-3-24,365.38,2.5,0.063,0.013,1,4252.32,4252.09
1835,136,8-2-20,8-2-14,163.24,1.5,0.86,0.013,1,4289.77,4288.36
1838,136,8-2-22,8-2-20,331.41,1.5,0.54,0.013,1,4292.43,4290.65
1839,136,8-2-23,8-2-22,248.92,1.5,0.33,0.013,1,4293.24,4292.43
184,136,1N-3-28,1N-3-27,450.84,2.5,0.126,0.013,1,4252.9,4252.33
1840,136,8-2-24,8-2-23,302.53,0.67,0.294,0.013,1,4294.33,4293.44
1846,136,8-3-14,8-2-23,352.82,1.5,0.29,0.013,1,4294.29,4293.25
1848,136,8-2-6.2,8-2-6,168.32,1.5,0.303,0.013,1,4279.73,4279.22
185,136,1N-3-29,1N-3-28,322.36,2.5,0.15,0.013,1,4253.5,4253.02
186,136,6-2-39,1N-3-29,419.18,2.5,0.1,0.013,1,4253.96,4253.54
1861,136,8-3-11,8-3-12,120.15,1.5,1.81,0.013,1,4297.58,4295.41
1862,136,8-3-12,8-3-13,25.56,1.5,0.67,0.013,1,4295.32,4295.15
1863,136,8-3-13,8-3-14,253.24,1.5,0.27,0.013,1,4295.01,4294.32
1865,136,8-3-15,8-3-11,402.24,1.5,1.186,0.013,1,4302.41,4297.64
1866,136,8-3-16,8-3-15,405.19,1.5,1.503,0.013,1,4308.51,4302.42
1867,136,8-3-17,8-3-16,372.25,1.5,0.57,0.013,1,4311.41,4309.29
1868,136,8-4-42,8-3-17.1,378.37,1.5,1.19,0.013,1,4316.67,4312.18
1869,136,8-3-18,8-3-16,49.39,0.67,0.385,0.013,1,4310.87,4310.68
1870,136,8-3-19,8-3-18,359.92,0.67,0.317,0.013,1,4312.06,4310.92
1871,136,8-3-20,8-3-19,216.08,0.67,0.625,0.013,1,4313.56,4312.21
1872,136,8-4-36,8-3-20,320.14,0.67,0.372,0.013,1,4314.8,4313.61
1890,136,8-4-1,8-4-3,142.06,0.83,0.09,0.013,1,4341.38,4341.25
1893,136,8-4-4,8-4-6,393.02,0.83,0.47,0.013,1,4340.15,4338.29
1922,136,8-4-35,8-4-36,98.16,0.67,0.306,0.013,1,4315.27,4314.97
1929,136,8-4-43,8-4-42,405.3,1.5,0.94,0.013,1,4320.64,4316.82
1930,136,8-4-44,8-4-43,395.93,1.5,0.61,0.013,1,4323.11,4320.68
1931,136,8-4-45,8-4-44,403.58,1.5,0.82,0.013,1,4326.51,4323.22
1932,136,8-4-46,8-4-35,386.97,0.67,0.525,0.013,1,4317.32,4315.29
1986,136,6-1-4,6-1-5,254.81,2.75,0.24,0.013,1,4276.14,4275.52
1994,136,16-2-48,9N-1-1,404.34,1.5,1.27,0.013,1,4346.52,4341.37
1995,136,9N-1-1,9N-1-2,413.28,1.5,0.6,0.013,1,4341.2,4338.73
1996,136,9N-1-2,9N-1-3,389.58,1.5,0.58,0.013,1,4338.68,4336.42
1997,136,9N-1-3,9N-1-4,397.56,1.5,0.73,0.013,1,4336.26,4333.35
1998,136,9N-1-4,8-4-45,397.97,1.5,1.26,0.013,1,4333.28,4328.28
1999,136,9S-1-2,9S-1-1,348.44,0.67,2.612,0.013,1,4698.79,4689.69
2000,136,9S-1-3,9S-1-2,247.54,0.67,1.709,0.013,1,4703.21,4698.98
2007,136,9S-1-10,9S-1-3,168.35,0.67,6.17,0.013,1,4713.72,4703.34
2017,136,9S-1-20,9S-1-10,469.42,0.67,5.91,0.013,1,4742.69,4714.93
2018,136,9S-1-21,9S-1-20,281.64,0.67,3.41,0.013,1,4752.63,4743.02
2030,136,9S-1-33,9S-1-21,224.68,0.67,4.15,0.013,1,4762.57,4753.25
2031,136,9S-1-34,9S-1-33,170.49,0.67,2.17,0.013,1,4766.3,4762.6
2033,136,9S-1-36,9S-1-34,298.09,0.67,0.81,0.013,1,4768.74,4766.32
2034,136,9S-1-37,9S-1-36,104.07,0.67,0.38,0.013,1,4769.19,4768.79
2035,136,9S-1-38,9S-1-37,132.6,0.67,0.7,0.013,1,4770.14,4769.21
2047,136,9S-1-50,9S-1-38,339.65,0.67,0.46,0.013,1,4771.79,4770.24
2050,136,9S-1-53,9S-1-50,249.85,0.67,0.43,0.013,1,4772.88,4771.8
2059,136,9S-1-62,9S-1-57,258.54,0.67,0.21,0.013,1,4774.26,4773.71
2079,136,9S-2-3,9S-2-5,268.34,1,0.339,0.013,1,4773.27,4772.36
2091,136,9S-2-17,9S-2-2,344.19,1,0.416,0.013,1,4776.02,4774.59
2092,136,9S-2-18,9S-2-17,56.21,1,0.409,0.013,1,4776.39,4776.16
2093,136,9S-2-19,9S-2-18,134.29,1,0.581,0.013,1,4777.27,4776.49
2098,136,9S-2-24,9S-2-19,261.65,0.83,0.436,0.013,1,4778.46,4777.32
2099,136,9S-2-25,9S-2-24,399.42,1,0.46,0.013,1,4780.37,4778.54
2100,136,9S-2-26,9S-2-25,415.27,1,0.45,0.013,1,4782.52,4780.65
2102,136,9S-4-87,9S-2-26,370.58,1,1.21,0.013,1,4787,4782.53
2103,136,9S-2-5,9S-2-27,297.43,0.67,2.71,0.013,1,4772.31,4764.26
2104,136,9S-2-27,9S-2-28,174.96,0.67,10.01,0.013,1,4763.41,4745.9
2105,136,9S-2-28,9S-2-29,138.73,1,1.12,0.013,1,4745.83,4744.27
2106,136,9S-2-29,9S-2-30,319.08,1,0.31,0.013,1,4744.17,4743.18
2110,136,9S-2-30,9S-2-33,122.36,1,0.39,0.013,1,4743.07,4742.59
