name,id,x,y,ground_elevation,invert_elevation,node_type
22-3-3,134,52194.54,64186.43,4520.29,4508.3,19
22-3-34,134,52222.83,64196.47,4519.91,4511.7,
22-3-35,134,52512,64194.56,4529.56,4522.43,
22-3-36,134,52912.02,64193.93,4545.42,4537.12,
22-3-37,134,53162.03,64191.77,4561.71,4556.05,
22-3-38,134,53361.74,64192.19,4566.84,4558.21,
22-3-39,134,53362.11,63977.35,4565.91,4560.43,
22-3-4,134,52195.45,64362.33,4515.91,4505.44,
22-3-40,134,53662.91,63976.87,4576.91,4570.16,
22-3-41,134,53665.34,64257.09,4578.39,4572.17,
22-3-42,134,54028.43,64253.85,4590.16,4581.76,
22-3-43,134,54415.02,64254.48,4609.35,4601.6,
22-3-43.1,134,54457.28,64253.87,4610.59,4602.25,19
22-3-44,134,54804.52,64244.23,4618.79,4605.64,
22-3-5,134,52195.09,64367.93,4515.7,4504.9,
22-4-15,134,52182.98,61862.57,4567.52,4556.74,19
22-4-46,134,52183.54,61902.83,4566.7,4555.54,
22-4-47,134,52184.34,62245.56,4558.82,4547.73,
22-4-48,134,52187,62596.89,4550.29,4539.4,
22-4-49,134,52187.24,62639.74,4549.05,4538.51,19
22-4-79,134,52188.65,62997.07,4540.57,4530.16,19
23-1-36,134,56901.26,61104.42,4813.34,4803.64,
23-1-37,134,56905.54,61397.18,4809.83,4801.22,
23-1-38,134,56908.49,61701.61,4799.81,4794.23,19
23-1-39,134,56906.81,62024.63,4778.04,4772.19,19
23-1-62,134,56908.86,62218.84,4759.78,4751.99,19
23-1-72,134,56928.06,62540.96,4727.12,4721.29,
23-1-73,134,57005.05,62887.92,4691.11,4685.77,
23-1-74,134,57091.87,63277.03,4658.21,4652.11,
23-1-75,134,57154.39,63540.03,4645.72,4632.72,19
23-1-75.1,134,57103.69,63549.18,4646.6,4631.9,
23-1-75.10,134,55840.77,63880.51,4647.3,4623.24,
23-1-75.11,134,55609.05,63836.07,4643.57,4622.3,
23-1-75.12,134,55358.12,63836.38,4645.31,4621.23,
23-1-75.13,134,55057.33,63839.47,4641.53,4620.54,
23-1-75.14,134,54849.02,63842.09,4627.6,4618.34,19
23-1-75.15,134,54852.57,64236.5,4618.71,4606.19,19
23-1-75.2,134,57093.19,63579.38,4646.53,4631.68,
23-1-75.3,134,56715.52,63693.09,4642.98,4628.28,19
23-1-75.4,134,56588.92,63859.23,4645.59,4627.53,19
23-1-75.5,134,56456.22,64033.79,4648.37,4626.59,
23-1-75.6,134,56338.15,64106.31,4649.83,4626.07,19
23-1-75.8,134,56200.18,64088.18,4651.05,4624.98,
23-1-75.9,134,56037.31,63978.09,4651.6,4623.97,19
23-1-77,134,57201.37,63528.52,4646.01,4632.96,
23-1-77.1,134,57218.26,63523.88,4646.1,4633.51,19
23-1-77.2,134,57240.84,63590.75,4643.6,4633.74,
23-1-83,134,57221.01,63615,4643.56,4634.13,19
23-2-10,134,57575.4,63566.26,4648.51,4639.09,
23-2-11,134,57647.58,63296.56,4654.98,4644.48,19
23-2-16.1,134,57750.15,63068.46,4667.83,4655.67,
23-2-16.2,134,57863.59,62981.9,4673.29,4660.17,
23-2-16.3,134,58142.51,62862.3,4675.97,4663.2,
23-2-16.4,134,58480.14,62646.86,4687.27,4675.59,
23-2-16.5,134,58738.15,62442.9,4694.47,4682.24,19
23-2-16.6,134,58904.68,62164.15,4703.37,4682.36,19
23-2-16.7,134,58953.78,62195.22,4708.36,4692.82,
23-2-16.8,134,58891.39,62333.45,4719.78,4704.98,19
23-2-16.9,134,59035.34,62420.61,4810.3,4798.87,19
23-2-17,134,57506.29,63857.73,4647.02,4637.42,19
23-2-6,134,57326.86,64109.52,4645.17,4636.22,
23-2-7,134,57340.33,64113.32,4645.01,4636.3,19
23-2-8,134,57414.17,63984.41,4644.63,4636.91,
23-2-9,134,57574.05,63770.57,4647.7,4638.26,
25-2-17,134,60670.38,59241.93,4881.95,4870.75,
25-2-18,134,60722.72,59273.18,4881.69,4875.46,
25-2-19,134,61084.99,59122.65,4887.55,4878.88,
25-2-20,134,61368.11,59066.01,4887.17,4880.65,19
25-2-25,134,61574.76,59023.5,4892.74,4882.03,
25-2-26,134,61910.63,59036.77,4908.07,4897.69,19
25-2-27,134,61953.42,58931.9,4911.5,4903.39,
25-2-28,134,61961.66,58749.48,4918.49,4912.2,
25-2-29,134,62014.2,58454.81,4941.69,4933.71,
25-2-30,134,62074.12,58131.63,4973.3,4956.62,
25-2-31,134,62137.91,58142.25,4973.83,4965.57,
25-2-32,134,62232.87,58155.87,4998.88,4990.87,19
25-2-39,134,62243.49,59056.98,4924.85,4916.84,
25-2-40,134,62499.91,59041.41,4937.29,4929.35,
25-2-41,134,62764.15,58997.14,4950.19,4943.75,19
25-2-42,134,63021.44,58901.68,4966.26,4953.57,19
25-2-6,134,60291.63,59448.06,4870.53,4860.32,
25-2-7,134,60602.44,59274.03,4879.7,4869.15,19
26-1-43,134,54765.99,57030.24,4809.99,4799.19,
26-1-44,134,54770.87,57451.87,4803.84,4797.72,
26-1-45,134,54775.53,57803.41,4805.08,4796.54,
26-1-46,134,54777.52,57927.98,4805.92,4795.62,19
26-1-47,134,55061.82,57925.49,4811.46,4801.44,19
26-1-88,134,55315.89,57923.36,4818.87,4808.27,19
26-1-90,134,55777.03,57919.32,4830.22,4821.18,
26-1-91,134,56206.37,57915.43,4845.66,4835.61,
26-1-92,134,56329.41,57913.25,4848.84,4839.86,19
26-1-93,134,56658.01,57909.11,4861,4850.53,
26-1-94,134,57085.12,57902.28,4889.19,4879.19,
26-1-95,134,57285.55,57941.71,4896.91,4887.29,
26-1-96,134,57318.33,57693.23,4910.26,4897.84,19
26-2-1,134,54780.09,58154.35,4806.42,4795.24,
26-2-11,134,54787.39,58702.96,4800.58,4791.11,
26-2-16,134,54790.97,58953.2,4797.31,4788.32,19
26-2-2,134,54783.61,58409.09,4804.68,4794.19,19
26-2-21,134,54791.5,59002.06,4796.69,4786.84,19
26-2-22,134,54795.35,59303.74,4794.32,4784.13,
26-2-23,134,54800.04,59652.94,4792.56,4782.97,
26-2-24,134,54804.54,59940.71,4788.88,4778.97,19
26-2-24.1,134,54805.01,60002.93,4788.49,4777.69,
26-2-28,134,54809.79,60353.62,4786.81,4776.92,
26-2-29,134,54815.12,60707.39,4784.3,4775.47,
26-2-30,134,55091.46,60704.82,4787.8,4778.91,19
26-2-32,134,55196.33,60705.39,4789.04,4780.67,
26-2-33,134,55348.09,60703.72,4791.05,4782.94,19
26-2-37,134,55599.93,60701.46,4794.63,4785.94,19
26-2-39,134,55643.25,60656.54,4795.21,4786.34,
26-2-94,134,56896.44,60690.49,4816.79,4807.95,
26-2-95,134,56926.24,60690.26,4817.19,4808.55,
26-2-96,134,57142.8,60688.49,4822.07,4813.19,19
26-2-96.1,134,57342.12,60688.1,4827.17,4816.67,19
26-2-99,134,57495.47,60686.16,4830.92,4820.45,19
26-3-1,134,57593.39,60685.39,4832.66,4822.35,19
26-3-23,134,58199.16,60574.43,4842.82,4833.43,
